StateCode,Division,YearMonth,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
30,1,201001,2.8,21.8,0.59,2.19,0.95,2.1,0,1339,0.45,0.56,-0.26,0.44,0.75,0.41,1.01,14.5,29.2
30,9,201001,2.42,22.4,-0.25,2.39,-0.36,1.86,0,1321,-0.32,0.06,-0.66,-0.08,0.51,0.51,1.52,16,28.8
30,2,201001,2.77,21.9,0.08,1.67,-0.05,0.66,0,1336,0.09,0.1,-0.67,0.22,1.1,0.5,1.07,14.2,29.5
30,4,201001,1.99,31.3,1.6,1.6,-1.58,0.84,0,1045,-1.08,0.63,0.03,-0.15,1.1,0.47,0.84,24.2,38.3
30,7,201001,2.12,20.3,2.45,2.45,-0.59,2.15,0,1386,-0.29,0.22,0.16,0.29,1.04,0.58,1.38,12.5,28
30,8,201001,1.84,19.3,-0.44,0.88,-1.06,0.01,0,1417,-0.72,-0.16,-0.48,-0.35,0.27,0.05,0.71,12.3,26.4
30,10,201001,2.06,22.8,-0.31,1.68,0.09,1.03,0,1308,-0.03,-0.19,-0.93,-0.24,0.33,0.14,0.93,16.3,29.3
30,5,201001,2.5,25.1,1.94,1.94,-0.59,1.33,0,1237,-0.19,0.39,-0.25,0.08,1.25,0.61,1.42,17.2,33.1
30,3,201001,2.42,17.3,-1.11,0.68,-1.29,-0.96,0,1479,-0.79,-0.37,-0.95,-0.46,0.53,0.1,1.18,8.8,25.8
30,6,201001,2.07,20.5,-1.28,0.79,-1.5,-1.02,0,1380,-0.93,-0.71,-1.39,-0.37,0.43,-0.03,1,12.5,28.5
30,8,201002,1.46,21.9,-0.89,-0.89,-1.48,-0.89,0,1207,-0.98,-1.33,-0.7,-0.63,-0.29,-0.1,0.35,15.1,28.7
30,10,201002,2.06,24.5,-0.29,1.49,-0.05,0.79,0,1134,0.16,-0.07,-0.16,-0.81,0.25,0.32,0.64,19.2,29.9
30,2,201002,3.37,24.3,0.47,1.9,1.2,1.31,0,1140,0.81,0.49,0.44,-0.26,1.05,0.86,0.78,18.4,30.3
30,1,201002,1.66,23.4,-0.29,1.67,-0.88,1.14,0,1165,-0.47,-0.1,0.17,-0.64,0.63,0.45,0.64,16.6,30.2
30,3,201002,2.25,20.1,-1.38,-1.38,-1.13,-1.38,0,1257,-0.65,-1.15,-0.72,-0.98,-0.22,0.01,0.75,12.7,27.5
30,9,201002,2.02,23.8,-0.47,1.9,-0.74,1.04,0,1154,-0.38,-0.65,-0.22,-0.7,0.3,0.48,1.19,17.8,29.8
30,4,201002,5.41,32.3,2.39,2.39,2.86,2.39,0,916,1.4,0.31,1.16,0.61,1.31,1.04,0.82,26.4,38.1
30,7,201002,2.72,23,2.42,2.42,0.66,2.33,0,1176,0.52,0.05,0.41,0.3,0.85,0.79,1.15,16.3,29.8
30,5,201002,4.14,28.1,2.52,2.52,2.35,2.52,0,1033,1.29,0.68,0.97,0.1,1.46,1.06,1.17,21.7,34.5
30,6,201002,2.93,24,-1.1,0.77,0.17,-0.88,0,1148,0.18,-0.59,-0.57,-0.86,0.07,0.2,0.64,17.8,30.2
30,10,201003,2.48,38.4,-0.6,1,-1.01,-0.1,0,825,-0.01,0.06,-0.09,-0.42,-0.09,0.09,0.39,29.3,47.5
30,8,201003,1.65,36.4,-1.52,-1.52,-2.17,-1.52,0,887,-0.95,-1.45,-1.63,-0.71,-0.26,-0.14,-0.01,27.5,45.3
30,2,201003,4.63,38.7,0.83,2.12,1.24,1.9,0,815,1.14,1.26,1.08,0.5,0.93,1.18,0.54,28.7,48.7
30,6,201003,3.86,38.4,-0.96,0.71,0.07,-0.81,0,825,0.48,0.46,-0.16,-0.28,0.05,0.28,0.32,28.6,48.2
30,4,201003,10.57,45.4,4.19,4.19,6.16,4.19,0,608,2.8,2.82,2.14,1.93,1.66,1.99,1.26,36.8,54
30,7,201003,3.96,36.4,2.58,2.58,1.23,2.58,0,887,1.02,1.02,0.63,0.84,1.05,1.04,1.01,26.9,45.9
30,5,201003,5.43,42,2.88,2.88,1.87,2.88,0,713,1.39,1.72,1.41,1.12,1.31,1.51,1.11,32.5,51.4
30,3,201003,3.08,34.7,-1.53,-1.53,-0.88,-1.53,0,939,-0.24,-0.6,-1,-0.75,-0.28,0,0.34,24.6,44.8
30,1,201003,2.43,37.3,-0.67,1.09,-1.23,0,0,859,-0.26,-0.56,-0.28,-0.21,0.36,0.31,0.31,26.5,48.1
30,9,201003,2.04,38,-1.08,1.04,-1.99,-0.56,0,837,-0.76,-0.86,-1.03,-0.67,-0.05,0.19,0.86,29.3,46.8
30,4,201004,2.7,54,-0.69,3.07,-2.08,2.21,0,330,-0.66,1.78,2.12,1.54,1.11,1.84,1.25,43.5,64.5
30,10,201004,1.84,50.3,-1.63,-1.63,-3.28,-1.63,0,441,-1.12,-0.84,-0.7,-1.22,-0.55,0.09,0.28,37.6,62.9
30,9,201004,1.77,50.3,-2.23,-2.23,-3.77,-2.23,0,441,-1.37,-1.54,-1.55,-1.5,-0.81,-0.1,0.7,38.6,62
30,3,201004,2.2,45.5,-2.48,-2.48,-3.35,-2.48,0,585,-1.09,-0.96,-1.18,-1.51,-1,-0.05,0.17,32.4,58.6
30,6,201004,1.68,49.2,-2.18,-2.18,-3.96,-2.18,0,474,-1.71,-0.75,-0.54,-1.42,-0.64,0.15,0.09,36.3,62.2
30,1,201004,2.03,49.1,-1.58,-1.58,-2.93,-1.58,0,477,-1.04,-0.98,-1.15,-1.02,-0.12,0.35,0.25,34.5,63.6
30,7,201004,2.8,47.6,1.76,1.76,-1.67,0.98,0,522,-0.07,0.64,0.75,0.49,0.52,1.2,0.99,35.4,59.9
30,5,201004,1.98,52.2,-1.04,1.54,-3.13,0.19,0,384,-1.19,0.37,0.88,0.39,0.41,1.47,0.98,39.2,65.2
30,8,201004,2.14,48,-2.26,-2.26,-2.7,-2.26,0,510,-0.68,-1.2,-1.58,-1.35,-1.01,-0.37,-0.1,36.2,59.9
30,2,201004,2.3,48.8,-0.96,0.94,-2.87,-0.48,0,486,-1,0.23,0.52,-0.17,0.36,1.18,0.46,35.5,62
30,4,201005,2.69,62.5,-1.18,2.19,-1.67,0.67,37,115,-0.56,-0.87,1.26,1.6,1.15,1.63,1.26,52.3,72.6
30,5,201005,2.4,61.2,-1.66,0.66,-2.18,-1.54,34,152,-0.84,-1.39,-0.21,0.43,-0.12,1.16,1.03,48.5,73.9
30,3,201005,2.54,55.6,-2.95,-2.95,-2.15,-2.95,11,302,-0.83,-1.26,-1.3,-1.42,-1.4,-0.78,0.23,42.7,68.5
30,2,201005,2.75,58.2,-1.55,-1.55,-2.09,-1.55,18,229,-0.71,-1.15,-0.32,0.06,-0.44,0.78,0.52,45.2,71.2
30,6,201005,2.61,59,-2.59,-2.59,-1.9,-2.59,26,212,-0.75,-1.6,-1.1,-1.23,-1.24,-0.43,0.17,46.2,71.8
30,1,201005,3.36,57.9,-1.71,-1.71,-0.89,-1.71,22,243,0.01,-0.51,-0.66,-0.48,-1.02,0.26,0.37,44.7,71.1
30,8,201005,1.93,58.4,-2.87,-2.87,-2.53,-2.87,22,227,-0.99,-1.1,-1.63,-1.57,-1.24,-0.9,-0.21,45.9,70.8
30,9,201005,2.8,59.2,-2.42,-2.42,-1.27,-2.42,29,209,-0.28,-0.94,-1.24,-1.16,-1.26,-0.33,0.77,47.9,70.5
30,10,201005,2.79,59.6,-2.02,-2.02,-1.69,-2.02,34,201,-0.29,-0.8,-0.79,-0.78,-1.15,-0.13,0.41,47.7,71.4
30,7,201005,1.87,57.7,0.73,0.73,-2.53,-1.12,17,244,-1.01,-0.74,-0.12,0.11,0.12,0.63,1.02,44.8,70.7
30,4,201006,1.78,72.4,-1.84,1.19,-2.34,-1.16,222,0,-0.95,-1.16,-1.46,0.78,1.03,0.87,1.13,63.2,81.5
30,6,201006,6.84,65.1,1.14,-1.19,3.41,0.32,66,63,1.42,0.65,-0.02,-0.16,-0.28,-0.04,0.5,54.8,75.4
30,7,201006,5.37,62.9,1.53,1.53,2.62,0.77,30,93,1.15,0.26,0.16,0.47,0.65,0.87,1.01,52.9,72.9
30,10,201006,6.3,66.2,1.13,-0.69,3.38,0.93,85,49,1.55,1.03,0.49,0.34,0,0.14,0.74,56.2,76.2
30,8,201006,6.95,63.5,1.65,-0.93,4.96,1.19,40,85,1.9,1.03,0.59,-0.38,-0.11,0.12,0.05,53.9,73.1
30,3,201006,7.05,60.9,1.31,-1.33,3.93,0.35,16,139,1.54,0.75,0.24,-0.44,-0.44,-0.12,0.48,50.9,70.9
30,1,201006,5.31,65.3,0.48,-1.06,1.44,-0.27,72,63,0.88,0.55,0.1,-0.1,-0.13,0.28,0.48,53.9,76.6
30,5,201006,3.79,68.3,-1.7,-1.7,-0.62,-1.7,116,17,0.07,-0.55,-1.09,0.09,0.29,0.58,0.92,57.3,79.2
30,9,201006,6.22,65.9,1.29,-0.89,3.87,0.85,78,51,1.77,1.21,0.52,-0.12,-0.15,0.21,1.04,56.6,75.2
30,2,201006,4.74,65.1,0.25,-1.14,0.75,-0.67,63,60,0.5,-0.08,-0.51,0.18,0.04,0.49,0.61,54,76.1
30,8,201007,3.87,70.8,1.64,-0.67,0.48,1.51,187,7,0.31,1.63,0.95,-0.05,-0.31,-0.3,-0.06,60.7,80.9
30,7,201007,3.73,70.7,1.34,1.34,-0.09,0.53,183,7,0.12,0.86,0.25,0.56,0.47,0.52,0.78,60,81.4
30,5,201007,3.28,74.8,-2.09,-2.09,-1.69,-2.09,304,0,-0.38,-0.28,-0.7,-0.02,-0.18,-0.04,0.69,63.2,86.5
30,2,201007,3.72,70.8,-0.23,-1.25,-0.68,-1.06,186,6,-0.22,0.12,-0.3,0.01,-0.32,0.13,0.41,58.9,82.7
30,1,201007,4.79,70.1,0.95,0.95,1.55,0.95,168,10,0.78,1.05,0.76,0.06,-0.09,0.32,0.48,57.7,82.4
30,6,201007,3.95,71.4,0.97,-1.12,-0.16,0.29,204,6,0.01,1.01,0.46,0.08,-0.67,-0.22,0.25,60.4,82.5
30,3,201007,4.3,67.7,1.19,-1.18,0.03,0.46,109,25,0.19,1.25,0.7,-0.06,-0.63,-0.39,0.27,56.8,78.5
30,9,201007,4.37,72.2,1.91,1.91,2.25,1.91,227,0,0.9,1.75,1.38,0.38,0.01,0.17,0.99,62.4,82
30,10,201007,4.58,71.9,1.67,1.67,1.99,1.67,219,0,0.85,1.56,1.21,0.68,0.14,0.27,0.64,61.4,82.5
30,4,201007,3.16,78.5,-2.34,-2.34,-2.08,-2.34,418,0,-0.18,-0.78,-0.97,0.95,0.76,0.49,1.14,69.1,87.8
30,10,201008,4.31,69.3,2.29,2.29,2.38,2.29,153,20,0.91,1.12,1.64,0.93,0.76,0.13,0.64,59.7,78.9
30,7,201008,4.55,67,1.58,1.58,1.14,1.12,103,41,0.78,0.54,1.12,0.7,0.74,0.61,0.78,56.4,77.6
30,2,201008,5.29,67.3,0.61,0.61,1.82,0.61,105,34,0.96,0.45,0.57,0.18,0.37,-0.06,0.7,56.8,77.7
30,3,201008,5.42,64.2,1.7,1.7,1.9,1.7,59,83,0.99,0.77,1.56,0.52,0.06,-0.29,0.31,53.8,74.6
30,1,201008,3.25,67.8,0.82,0.82,-0.1,0.82,120,34,-0.12,0.43,0.81,0.1,0.15,-0.39,0.3,56.9,78.7
30,5,201008,4.11,70.9,-2.09,-2.09,-0.65,-2.09,189,6,0.31,-0.16,-0.18,-0.36,0.12,-0.21,0.75,60.2,81.6
30,4,201008,2.18,74.6,-3.03,-3.03,-2.78,-3.03,298,0,-0.86,-0.85,-1.29,0.1,0.68,0.4,1,66.1,83.2
30,8,201008,5.22,67.3,2.22,2.22,2.23,2.22,110,39,1.21,1.04,1.97,0.72,0.27,0.09,0.21,57,77.6
30,6,201008,5.59,67.9,1.79,1.79,2.75,1.79,120,30,1.28,0.78,1.4,0.52,0.16,-0.19,0.4,57.9,77.9
30,9,201008,3.33,69.9,1.84,1.84,0.38,1.84,167,15,0.08,0.7,1.58,0.51,0.33,-0.13,0.83,60.6,79.2
30,8,201009,5.45,59.7,2.92,2.92,2.79,2.92,16,175,1.19,1.69,1.53,1.39,0.64,0.63,0.62,50.3,69
30,2,201009,2.28,60.7,-0.58,-0.58,-1.73,-0.58,19,148,-0.9,0.06,-0.15,-0.57,-0.03,-0.06,0.51,49.9,71.5
30,7,201009,3.64,59.5,1.48,1.48,0.18,1.02,14,179,0.29,0.73,0.58,0.45,0.67,0.8,0.96,49.9,69.2
30,5,201009,2.77,64.5,-2.46,-2.46,-1.77,-2.46,58,73,-0.41,-0.21,-0.46,-1.15,-0.3,-0.03,0.49,53.8,75.2
30,3,201009,4.32,57.3,1.66,1.66,0.42,1.66,7,238,0.2,0.81,0.73,0.58,0.05,-0.1,0.52,47.6,67
30,6,201009,2.8,61.1,1.22,1.22,-1.14,0.6,24,141,-0.71,0.35,0.2,0.02,-0.08,-0.18,0.4,51.1,71.1
30,4,201009,3.48,68.8,-2.99,-2.99,-0.84,-2.99,128,14,0.14,-0.6,-0.69,-1.5,0.14,0.54,0.61,60.6,77
30,1,201009,2.84,59.6,0.5,0.5,-0.69,0.5,15,177,-0.39,-0.44,0.16,0.03,-0.11,-0.14,0.3,48.7,70.4
30,9,201009,3.64,61.5,1.73,1.73,0.26,1.73,26,131,0.18,0.18,0.62,0.7,0.24,0.13,0.99,52.2,70.7
30,10,201009,3.07,61,2.11,2.11,0.17,2.11,23,143,-0.08,0.5,0.82,0.81,0.71,0.36,0.76,51.4,70.7
30,8,201010,7.59,46.5,4.76,4.76,6.43,4.76,0,574,2.35,2.39,2.59,2.37,1.71,1.31,0.97,38,55.1
30,10,201010,5.57,49.7,3.1,3.1,3.62,3.1,0,474,1.45,1.06,1.23,1.59,1.26,0.79,0.91,41,58.3
30,6,201010,7.36,48.2,2.6,2.6,4.51,2.6,0,521,1.76,1.01,1.42,1.27,0.95,0.28,0.65,38.3,58
30,7,201010,7.79,45.9,3.43,3.43,6.31,3.43,0,592,2.39,1.85,1.93,1.52,1.62,1.48,1.32,36.7,55.2
30,4,201010,3.99,56.4,-2.71,-2.71,-0.07,-2.68,6,272,0.42,0.24,-0.28,-1.06,0.51,0.41,0.69,47.7,65.1
30,9,201010,4.94,50,2.37,2.37,2.46,2.37,0,465,1,0.83,0.71,1.41,0.71,0.34,0.93,41.7,58.3
30,3,201010,8.02,44.2,3.15,3.15,4.99,3.15,0,645,1.89,1.61,1.95,1.83,1.15,0.56,0.84,34.8,53.5
30,5,201010,7.22,51.5,1.26,-0.95,3.78,0.75,0,418,1.66,1.03,0.88,0.22,0.56,0.35,0.79,41.4,61.7
30,1,201010,5.52,48.2,1.57,1.57,3.36,1.57,0,521,1.4,0.84,0.59,0.89,0.35,0.21,0.56,38,58.4
30,2,201010,8.56,48.4,1.88,1.88,5.65,1.88,0,515,2.09,1.3,1.39,0.9,1.03,0.62,0.94,38.4,58.3
30,7,201011,2.95,35.7,3.15,3.15,0.21,3.15,0,879,0.02,1.83,1.68,2.02,1.5,1.49,1.43,27.6,43.7
30,6,201011,3.28,37.6,2.14,2.14,-0.59,1.82,0,822,-0.23,1.31,0.74,1.48,0.82,0.53,0.76,28.8,46.4
30,8,201011,2.58,36,4.14,4.14,-0.38,3.94,0,870,-0.48,1.67,1.93,2.67,1.73,1.36,0.96,27.2,44.9
30,4,201011,2.43,46.2,-3.15,-3.15,-2.15,-3.15,0,564,-0.66,-0.17,-0.19,-1.22,-0.06,0.48,0.62,38.4,54.1
30,3,201011,3,34,2.29,2.29,-1.61,1.58,0,930,-0.7,1.28,1.13,2.01,1.1,0.7,0.82,25,43
30,1,201011,2.71,37.6,1.48,1.48,0.2,1.48,0,822,-0.03,1.03,0.62,0.92,0.41,0.44,0.57,28,47.1
30,2,201011,2.88,38,1.48,1.48,-0.64,1.1,0,810,-0.34,1.6,0.98,1.02,0.74,0.83,1,29.2,46.7
30,5,201011,2.79,40.5,0.92,-1.07,-0.65,0.3,0,735,-0.39,1.2,0.72,0.36,0.12,0.48,0.81,31.6,49.3
30,10,201011,2.41,38.9,2.84,2.84,0.16,2.84,0,783,-0.22,0.99,0.75,1.67,1.17,1.01,0.92,30.7,47.2
30,9,201011,3.17,39.2,2.27,2.27,0.42,2.27,0,774,-0.08,0.68,0.62,1.46,0.75,0.58,0.89,30.5,47.8
30,1,201012,3.94,22.6,2.06,2.06,2.2,2.06,0,1314,1.23,0.66,1.37,0.94,0.77,0.64,0.74,16.7,28.5
30,3,201012,3.11,19.1,1.72,1.72,-1,0.57,0,1423,-0.47,-0.82,0.9,1.1,0.93,0.52,0.37,12.3,25.9
30,2,201012,3.42,22.9,1.43,1.43,0.32,1.14,0,1305,0.26,-0.1,1.52,0.96,0.48,0.83,0.83,16.4,29.4
30,9,201012,3.33,24.2,2.2,2.2,0.5,2.2,0,1265,0.29,0.06,0.67,0.81,0.9,0.55,0.7,19.1,29.3
30,8,201012,2.64,21.1,3.51,3.51,-0.61,3.03,0,1361,-0.21,-0.51,1.33,1.83,1.73,1.19,0.77,14.8,27.5
30,10,201012,3.01,24.2,2.92,2.92,1.12,2.92,0,1265,0.58,0.13,1.05,1.2,1.21,1.13,0.86,18.9,29.5
30,4,201012,3.51,32.4,-2.99,-2.99,-0.51,-2.99,0,1011,-0.18,-0.69,-0.33,-0.79,-1.45,-0.05,0.39,26.2,38.7
30,6,201012,2.84,22.9,1.64,1.64,-0.84,0.92,0,1305,-0.47,-0.47,0.98,0.75,0.52,0.44,0.31,16.7,29.1
30,7,201012,3.16,21.2,3.01,3.01,0.55,3.01,0,1358,0.35,0.24,1.61,1.59,1.23,1.35,1.19,14.1,28.2
30,5,201012,3.68,26.2,1.03,-0.75,0.63,0.81,0,1203,0.36,-0.04,1.15,0.47,-0.15,0.38,0.59,18.8,33.5
30,6,201101,2.37,18.1,1.11,1.11,-1.09,-0.09,0,1454,-0.6,-0.85,-0.83,0.65,0.74,0.49,0.26,10,26.2
30,5,201101,2.56,21.2,0.75,-0.84,-0.51,0.46,0,1358,-0.13,0.08,-0.16,0.59,0.05,0.39,0.56,12.7,29.7
30,10,201101,1.49,20.3,2.31,2.31,-0.92,1.87,0,1386,-0.83,-0.19,-0.38,0.81,1.31,1.01,0.76,13.3,27.4
30,1,201101,1.56,19.1,1.5,1.5,-1.05,0.95,0,1423,-0.9,0.26,0.04,0.5,0.84,0.36,0.57,11.2,26.9
30,3,201101,2.1,13.9,0.97,0.97,-1.74,-0.84,0,1584,-1.16,-1.17,-1.35,0.75,0.98,0.45,0.31,4.9,23
30,7,201101,1.89,15.6,2.38,2.38,-0.95,1.93,0,1531,-0.55,-0.2,-0.12,1.49,1.23,1.33,1.14,7.3,24
30,9,201101,1.94,19.7,1.58,1.58,-1.18,0.99,0,1404,-0.96,-0.51,-0.5,0.28,1.04,0.46,0.6,12.6,26.9
30,2,201101,2.07,19,0.94,0.94,-1.03,0.12,0,1426,-0.59,-0.31,-0.46,0.94,0.57,0.71,0.73,10.8,27.3
30,8,201101,1.22,15.5,2.44,2.44,-2.13,1.12,0,1534,-1.8,-1.25,-1.23,1.53,1.72,1.09,0.7,7.7,23.3
30,4,201101,3.34,28.1,-2.74,-2.74,-0.18,-2.74,0,1144,0.03,-0.14,-0.62,-0.74,-1.31,0.16,0.4,21,35.1
30,4,201102,3.4,33.4,-2.39,-2.39,0.21,-2.24,0,885,0.12,-0.02,-0.14,-0.32,-1.11,-0.15,0.58,24.2,42.6
30,10,201102,3.23,23,2.74,2.74,2,2.74,0,1176,1.35,0.43,0.61,0.92,1.71,1.3,1.05,13.4,32.6
30,1,201102,4.19,22,2.48,2.48,3.4,2.48,0,1204,1.95,0.87,1.37,1.25,1.4,0.94,0.98,10.7,33.2
30,2,201102,3.77,22.6,1.45,1.45,1.83,1.39,0,1187,1.13,0.3,0.3,0.97,1.02,0.78,1,11.5,33.8
30,7,201102,3.58,18.1,2.85,2.85,2.14,2.85,0,1313,1.27,0.51,0.55,1.59,1.89,1.5,1.36,7.5,28.8
30,9,201102,3.24,22.6,1.89,1.89,1.43,1.87,0,1187,1.01,-0.02,0.1,0.55,1.38,0.74,0.78,13.3,32
30,6,201102,3.57,20.7,1.38,1.38,1.16,0.64,0,1240,0.77,0.07,-0.37,0.39,1.24,0.6,0.5,10,31.4
30,3,201102,3.6,17,1.18,1.18,0.94,-0.2,0,1344,0.61,-0.44,-0.71,0.55,1.49,0.71,0.44,6,28
30,5,201102,3.66,25.1,1.21,1.21,1.6,1.21,0,1117,0.96,0.43,0.52,0.86,0.49,0.29,0.8,14.1,36.1
30,8,201102,2.64,18.4,2.37,2.37,0.53,1.23,0,1305,0.43,-0.83,-0.82,1.28,2.25,1.38,0.81,8.5,28.3
30,3,201103,5.35,26.2,2.01,2.01,2.84,1.54,0,1203,1.51,1.42,0.6,1.03,1.21,1.09,0.69,16,36.3
30,10,201103,3.01,31.7,2.75,2.75,0.88,2.75,0,1032,0.52,1.23,0.65,1.21,1.31,1.37,0.98,23.1,40.3
30,7,201103,5.09,28.1,3.84,3.84,3.85,3.84,0,1144,1.93,2.07,1.55,2.15,2.09,1.65,1.61,18.8,37.5
30,9,201103,3.82,31.5,2.37,2.37,2,2.37,0,1038,1.16,1.44,0.73,0.93,1.01,1.1,0.84,23.1,39.9
30,5,201103,5.2,35.2,1.9,1.9,2.44,1.9,0,924,1.26,1.43,1.15,1.52,0.88,0.25,1.06,25.7,44.6
30,6,201103,4.45,30.1,1.84,1.84,1.8,1.7,0,1082,0.93,1.12,0.59,1.12,0.91,0.68,0.6,21,39.3
30,8,201103,4.49,28.5,3.22,3.22,3.3,3.21,0,1132,1.72,1.46,0.5,1.32,1.86,1.85,1.2,19.1,37.9
30,1,201103,4.21,30.8,3,3,2.34,3,0,1060,1.33,2.14,1.53,1.97,1.4,1.29,1.13,21.3,40.3
30,2,201103,4.87,31.1,2.17,2.17,2.6,2.17,0,1051,1.3,1.57,1.05,1.81,1.23,0.8,1.22,21.7,40.6
30,4,201103,3.56,40.8,-2.42,-2.42,-0.84,-2.42,0,750,-0.26,-0.16,-0.22,-0.41,-0.85,-1.43,0.7,32.5,49.1
30,4,201104,4.83,50.7,-1.95,-1.95,0.67,-1.6,0,429,0.7,0.24,0.23,-0.31,-0.54,-0.99,0.73,42.7,58.8
30,6,201104,6.71,44.7,3.15,3.15,4.51,3.15,0,609,2.39,2.31,2.25,1.07,1.78,1.69,1.14,34.3,55.1
30,2,201104,7.26,45.4,3.67,3.67,5.17,3.67,0,588,2.4,2.43,2.64,1.65,1.99,1.63,1.73,35.4,55.4
30,7,201104,6.91,42.9,5.44,5.44,6,5.44,0,663,2.78,3.09,3.08,2.25,2.78,2.36,2.19,32.8,53.1
30,1,201104,7.05,45.2,4.73,4.73,6.11,4.73,0,594,2.59,2.78,3.09,2.73,2.09,2.12,1.7,35.2,55.1
30,10,201104,6.64,45.6,4.44,4.44,5.92,4.44,0,582,2.68,2.45,2.62,1.79,1.85,2.09,1.51,36,55.2
30,5,201104,5.56,48.3,2.46,2.46,2.27,2.46,0,501,1.44,1.7,1.85,1.19,1.4,0.81,1.31,38,58.6
30,9,201104,6.4,45.4,3.96,3.96,5.5,3.96,0,588,2.76,2.65,2.92,1.68,1.61,2.05,1.29,35.9,54.8
30,3,201104,8.29,40.7,4.12,4.12,6.96,4.12,0,729,3.09,3.09,3.09,1.34,2.31,2.43,1.44,30.6,50.7
30,8,201104,6.18,43.7,4.42,4.42,4.58,4.42,0,639,2.58,3.02,2.74,1.06,2.47,2.47,1.64,33.5,53.9
30,1,201105,7.08,57.8,5.57,5.57,3.99,5.57,22,245,1.97,2.49,2.82,3.09,3.02,2.57,2.17,47.1,68.5
30,8,201105,6.37,56.6,5.2,5.2,3.72,5.2,14,274,2.02,2.66,2.91,2.19,2.48,3.07,2,46.7,66.5
30,6,201105,5.89,58.9,3.41,3.41,1.75,3.41,25,214,1.31,2.18,2.43,1.79,1.79,2.34,1.2,48.7,69.1
30,4,201105,3.81,61.5,-1.91,-1.91,-0.49,-1.71,27,136,0.14,0.54,0.29,0.05,-0.16,-0.8,0.66,53.2,69.8
30,2,201105,6.22,58.2,3.99,3.99,2.1,3.99,18,229,1.55,2.46,2.81,2.42,2.3,2.18,1.89,48,68.4
30,7,201105,7.53,56.4,6.56,6.56,5.04,6.56,12,279,2.45,3.09,3.09,3.09,3.01,3.09,2.39,46.7,66
30,3,201105,7.64,55.4,4.99,4.99,3.88,4.99,10,308,2.22,3.09,3.09,2.59,2.44,3.09,1.65,45.3,65.4
30,5,201105,5.08,60.7,2.45,2.45,0.72,2.45,30,163,0.89,1.42,1.79,1.66,1.67,1.22,1.43,50.6,70.8
30,10,201105,5.3,58.5,4.71,4.71,2.2,4.71,26,227,1.46,2.38,2.51,2.6,2.15,2.49,1.81,49,68
30,9,201105,5.7,58,4.52,4.52,2.91,4.52,21,238,1.78,2.46,2.69,2.57,2.21,2.6,1.61,48.7,67.3
30,3,201106,4.92,61.9,4.88,4.88,1.22,4.88,24,117,0.58,1.77,2.69,2.59,2.5,2.64,1.64,51.5,72.2
30,6,201106,5.44,65.1,3.69,3.69,1.91,3.69,66,63,0.79,1.33,2.05,2.07,2.29,2.1,1.27,54,76.1
30,9,201106,3.04,66.1,3.91,3.91,-0.44,3.68,81,48,-0.13,1.08,2,2.3,1.97,1.99,1.43,56.3,75.9
30,10,201106,2.86,66.2,3.89,3.89,-1.02,3.44,85,49,-0.41,0.64,1.76,1.95,2,2.02,1.47,55.8,76.5
30,4,201106,3.72,70.3,-1.67,-1.67,0.14,-1.34,164,5,0.36,0.31,0.56,0.25,-0.01,-0.47,0.32,61.5,79.2
30,1,201106,2.86,65.2,4.47,4.47,-1.59,3.82,71,65,-0.69,1.05,1.98,2.5,2.72,2.3,1.92,54,76.4
30,8,201106,3.09,65.3,4.47,4.47,-0.59,4.19,65,56,-0.2,1.28,2.1,2.01,2.08,2.37,1.94,54.8,75.8
